code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
717191000000108,Heart failure monitoring second letter (procedure),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
716621000000101,Heart failure monitoring third letter (procedure),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
233924009,Heart failure as a complication of care (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
128404006,Right heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
367363000,Right ventricular failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
407596008,Echocardiogram shows left ventricular systolic dysfunction (finding),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
10335000,Chronic right-sided heart failure (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
426611007,Congestive heart failure due to valvular disease (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
195112003,Compensated cardiac failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
195114002,Acute left ventricular failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
703272007,Heart failure with reduced ejection fraction (disorder),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
79955004,Chronic cor pulmonale,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
1110931000000100,Quality and Outcomes Framework heart failure quality indicator-related care invitation (procedure),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
716971000000109,Heart failure monitoring first letter (procedure),SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
88805009,Chronic congestive heart failure,SNOMED  CT codes,C2853,7374,CCU002_02 Heart Failure (HF) - Phenotypes - England primary care EHR: Heart failure diagnosis,PH993,2171,CCU002_02 Heart Failure (HF),"[{""terminology"": ""SNOMEDCT"", ""code_type"": ""1.0""}]"
